Associationtype,Boardname,Companyname,Directorname,Overlapyearstart,Overlapyearend,Role,Associatedrole,Conncompanyorgtype,Boardid,Companyid,Directorid,Roletitle,Roleboardposition,Roleedflag,Overlapyearstart_int,Overlapyearend_int,Startcompanydatestartrole,Startcompanydateendrole,Conncompanydatestartrole,Conncompanydateendrole,Orgtype
Unlisted Org,1-800-FLOWERS.COM INC,MOD Systems Inc,Lawrence Calcano,2008,2008,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,6,884781,341863,Independent Director,Brd,SD,2008,2008,1999-08-01,2003-12-02,2008-03-31,2008-01-01,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Chris McCann,2010,2013,President (Brd) (ED),Trustee,Universities,6,79619,327069,President,Brd,ED,2010,2013,2010-07-01,2013-10-01,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Likeable Local Inc,Chris McCann,2013,2016,President (Brd) (ED),Director - SD (Brd) (SD),Private,6,2141798,327069,President,Brd,ED,2013,2016,2010-07-01,2013-10-01,2012-06-06,2016-01-01,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Chris McCann,2010,2010,President (Brd) (ED),Trustee,Universities,6,79619,327069,President,Brd,ED,2010,2010,2000-09-01,2010-07-01,,,Quoted
Education,ALBERTSONS INC (De-listed 06/2006),University of Phoenix Inc (The),Jim Perkins,2003,2006,,,Universities,1295,94081,1615300,,,,2003,2006,,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Likeable Local Inc,Chris McCann,2012,2013,President (Brd) (ED),Director - SD (Brd) (SD),Private,6,2141798,327069,President,Brd,ED,2012,2013,2010-07-01,2013-10-01,2012-06-06,2016-01-01,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Chris McCann,2016,2022,President/CEO (Brd) (ED),Trustee,Universities,6,79619,327069,President/CEO,Brd,ED,2016,2022,2016-06-30,2022-04-25,,,Quoted
Other,1-800-FLOWERS.COM INC,Dreamit,Chris McCann,2016,2022,President/CEO (Brd) (ED),Advisory Board Member,Private,6,2311739,327069,President/CEO,Brd,ED,2016,2022,2016-06-30,2022-04-25,,,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Chris McCann,2013,2016,President (Brd) (ED),Trustee,Universities,6,79619,327069,President,Brd,ED,2013,2016,2000-09-01,2010-07-01,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,BLUEFLY INC (Pivot Rules Inc prior to 08/1998) (De-listed 05/2013),Chris McCann,2005,2009,President (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,4672,327069,President,Brd,ED,2005,2009,2010-07-01,2013-10-01,2005-02-17,2009-02-10,Quoted
Other,1-800-FLOWERS.COM INC,Dreamit,Chris McCann,2016,2016,President (Brd) (ED),Advisory Board Member,Private,6,2311739,327069,President,Brd,ED,2016,2016,2010-07-01,2013-10-01,,,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Chris McCann,2010,2010,President (Brd) (ED),Trustee,Universities,6,79619,327069,President,Brd,ED,2010,2010,2010-07-01,2013-10-01,,,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Chris McCann,2010,2013,President (Brd) (ED),Trustee,Universities,6,79619,327069,President,Brd,ED,2010,2013,2000-09-01,2010-07-01,,,Quoted
NFP,1-800-FLOWERS.COM INC,Independent Group Home Living Program Inc,Chris McCann,2016,2022,President/CEO (Brd) (ED),Vice Chairman,Charities,6,2199958,327069,President/CEO,Brd,ED,2016,2022,2016-06-30,2022-04-25,,,Quoted
Other,1-800-FLOWERS.COM INC,Dreamit,Chris McCann,2023,Curr,Director - ED (Brd) (ED),Advisory Board Member,Private,6,2311739,327069,Director - ED,Brd,ED,2023,,2023-07-03,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Likeable Local Inc,Chris McCann,2012,2013,President (Brd) (ED),Director - SD (Brd) (SD),Private,6,2141798,327069,President,Brd,ED,2012,2013,2000-09-01,2010-07-01,2012-06-06,2016-01-01,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Chris McCann,2022,2023,CEO (Brd) (ED),Trustee,Universities,6,79619,327069,CEO,Brd,ED,2022,2023,2022-04-25,2023-07-03,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,Chris McCann,2023,Curr,Director - ED (Brd) (ED),Advisor (Non-Brd),Quoted,6,16506,327069,Director - ED,Brd,ED,2023,,2023-07-03,,2017-07-01,,Quoted
Other,1-800-FLOWERS.COM INC,Dreamit,Chris McCann,2022,2023,CEO (Brd) (ED),Advisory Board Member,Private,6,2311739,327069,CEO,Brd,ED,2022,2023,2022-04-25,2023-07-03,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Flora Plenty,Chris McCann,1987,1988,Director - SD (Brd) (SD),President (Brd) (ED),Private,6,580477,327069,Director - SD,Brd,SD,1987,1988,1984-01-01,1988-01-01,,1988-01-01,Quoted
NFP,1-800-FLOWERS.COM INC,Independent Group Home Living Program Inc,Chris McCann,2023,Curr,Director - ED (Brd) (ED),Vice Chairman,Charities,6,2199958,327069,Director - ED,Brd,ED,2023,,2023-07-03,,,,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Chris McCann,2010,2013,President (Brd) (ED),Trustee,Universities,6,79619,327069,President,Brd,ED,2010,2013,2013-10-01,2016-06-30,,,Quoted
Other,1-800-FLOWERS.COM INC,Dreamit,Chris McCann,2016,2016,President (Brd) (ED),Advisory Board Member,Private,6,2311739,327069,President,Brd,ED,2016,2016,2000-09-01,2010-07-01,,,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Chris McCann,2013,2016,President (Brd) (ED),Trustee,Universities,6,79619,327069,President,Brd,ED,2013,2016,2010-07-01,2013-10-01,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,NEOWARE INC (Neoware Systems Inc prior to 02/2006) (De-listed 10/2007),Chris McCann,2000,2007,President (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,21773,327069,President,Brd,ED,2000,2007,2010-07-01,2013-10-01,1998-12-01,2007-10-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,NEOWARE INC (Neoware Systems Inc prior to 02/2006) (De-listed 10/2007),Chris McCann,2000,2007,President (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,21773,327069,President,Brd,ED,2000,2007,2013-10-01,2016-06-30,1998-12-01,2007-10-01,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Chris McCann,2013,2016,President (Brd) (ED),Trustee,Universities,6,79619,327069,President,Brd,ED,2013,2016,2013-10-01,2016-06-30,,,Quoted
NFP,1-800-FLOWERS.COM INC,Independent Group Home Living Program Inc,Chris McCann,2016,2016,President (Brd) (ED),Vice Chairman,Charities,6,2199958,327069,President,Brd,ED,2016,2016,2000-09-01,2010-07-01,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Likeable Local Inc,Chris McCann,2013,2016,President (Brd) (ED),Director - SD (Brd) (SD),Private,6,2141798,327069,President,Brd,ED,2013,2016,2000-09-01,2010-07-01,2012-06-06,2016-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Likeable Local Inc,Chris McCann,2016,2016,President/CEO (Brd) (ED),Director - SD (Brd) (SD),Private,6,2141798,327069,President/CEO,Brd,ED,2016,2016,2016-06-30,2022-04-25,2012-06-06,2016-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Likeable Local Inc,Chris McCann,2013,2016,President (Brd) (ED),Director - SD (Brd) (SD),Private,6,2141798,327069,President,Brd,ED,2013,2016,2013-10-01,2016-06-30,2012-06-06,2016-01-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,NEOWARE INC (Neoware Systems Inc prior to 02/2006) (De-listed 10/2007),Chris McCann,2000,2007,President (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,21773,327069,President,Brd,ED,2000,2007,2000-09-01,2010-07-01,1998-12-01,2007-10-01,Quoted
NFP,1-800-FLOWERS.COM INC,Independent Group Home Living Program Inc,Chris McCann,2022,2023,CEO (Brd) (ED),Vice Chairman,Charities,6,2199958,327069,CEO,Brd,ED,2022,2023,2022-04-25,2023-07-03,,,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Chris McCann,2010,2010,President (Brd) (ED),Trustee,Universities,6,79619,327069,President,Brd,ED,2010,2010,2013-10-01,2016-06-30,,,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Chris McCann,2023,Curr,Director - ED (Brd) (ED),Trustee,Universities,6,79619,327069,Director - ED,Brd,ED,2023,,2023-07-03,,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,BLUEFLY INC (Pivot Rules Inc prior to 08/1998) (De-listed 05/2013),Chris McCann,2005,2009,President (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,4672,327069,President,Brd,ED,2005,2009,2000-09-01,2010-07-01,2005-02-17,2009-02-10,Quoted
Listed Org,1-800-FLOWERS.COM INC,BLUEFLY INC (Pivot Rules Inc prior to 08/1998) (De-listed 05/2013),Chris McCann,2005,2009,President (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,4672,327069,President,Brd,ED,2005,2009,2013-10-01,2016-06-30,2005-02-17,2009-02-10,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,Chris McCann,2022,2023,CEO (Brd) (ED),Advisor (Non-Brd),Quoted,6,16506,327069,CEO,Brd,ED,2022,2023,2022-04-25,2023-07-03,2017-07-01,,Quoted
NFP,1-800-FLOWERS.COM INC,Independent Group Home Living Program Inc,Chris McCann,2016,2016,President (Brd) (ED),Vice Chairman,Charities,6,2199958,327069,President,Brd,ED,2016,2016,2013-10-01,2016-06-30,,,Quoted
NFP,1-800-FLOWERS.COM INC,Independent Group Home Living Program Inc,Chris McCann,2016,2016,President (Brd) (ED),Vice Chairman,Charities,6,2199958,327069,President,Brd,ED,2016,2016,2010-07-01,2013-10-01,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,NEOWARE INC (Neoware Systems Inc prior to 02/2006) (De-listed 10/2007),Chris McCann,1998,2000,Senior VP (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,21773,327069,Senior VP,Brd,ED,1998,2000,1988-01-01,2000-09-01,1998-12-01,2007-10-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Likeable Local Inc,Chris McCann,2012,2013,President (Brd) (ED),Director - SD (Brd) (SD),Private,6,2141798,327069,President,Brd,ED,2012,2013,2013-10-01,2016-06-30,2012-06-06,2016-01-01,Quoted
Other,1-800-FLOWERS.COM INC,Dreamit,Chris McCann,2016,2016,President (Brd) (ED),Advisory Board Member,Private,6,2311739,327069,President,Brd,ED,2016,2016,2013-10-01,2016-06-30,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,Chris McCann,2017,2022,President/CEO (Brd) (ED),Advisor (Non-Brd),Quoted,6,16506,327069,President/CEO,Brd,ED,2017,2022,2016-06-30,2022-04-25,2017-07-01,,Quoted
Other,1-800-FLOWERS.COM INC,Villa Maria Education and Spirituality Center,Geralyn Breig,2012,2012,Independent Director (Brd) (SD),Trustee,Private,6,753148,457013,Independent Director,Brd,SD,2012,2012,2012-01-12,2021-12-07,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Twin Bridges Consulting Group Inc,Geralyn Breig,2012,2014,Independent Director (Brd) (SD),Principal (Non-Brd),Private,6,3664054,457013,Independent Director,Brd,SD,2012,2014,2012-01-12,2021-12-07,2012-01-01,2014-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Clarks Americas Inc,Geralyn Breig,2014,2016,Independent Director (Brd) (SD),President (Non-Brd),Private,6,2331201,457013,Independent Director,Brd,SD,2014,2016,2012-01-12,2021-12-07,2014-03-17,2016-02-11,Quoted
Listed Org,1-800-FLOWERS.COM INC,HANESBRANDS INC,Geralyn Breig,2018,2021,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,882407,457013,Independent Director,Brd,SD,2018,2021,2012-01-12,2021-12-07,2018-07-24,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Welch Foods Inc,Geralyn Breig,2013,2021,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,6,567657,457013,Independent Director,Brd,SD,2013,2021,2012-01-12,2021-12-07,2013-02-19,2022-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,AnytownUSA.com LLC,Geralyn Breig,2016,2021,Independent Director (Brd) (SD),CEO (Brd) (ED),Private,6,2890235,457013,Independent Director,Brd,SD,2016,2021,2012-01-12,2021-12-07,2016-06-01,2021-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,C&J Clark International Ltd,Geralyn Breig,2014,2016,Independent Director (Brd) (SD),Division President (Non-Brd),Private,6,1618039,457013,Independent Director,Brd,SD,2014,2016,2012-01-12,2021-12-07,2014-03-17,2016-02-11,Quoted
Listed Org,1-800-FLOWERS.COM INC,GP STRATEGIES CORP (De-listed 10/2021),Andrea Kantor,2007,2007,VP/Deputy General Counsel (Non-Brd),Executive VP/General Counsel (Non-Brd),Quoted,6,13657,448188,VP/Deputy General Counsel,Non-Brd,,2007,2007,2007-01-01,2008-08-01,2005-04-01,2007-01-19,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Wright Investors Service Holdings Inc (National Patent Development Corp prior to 01/2013),Andrea Kantor,2007,2007,VP/Deputy General Counsel (Non-Brd),VP/General Counsel (Non-Brd),Private,6,641106,448188,VP/Deputy General Counsel,Non-Brd,,2007,2007,2007-01-01,2008-08-01,2004-11-01,2007-01-19,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Paybox Corp (Direct Insite Corp prior to 11/2016),Jim Cannavino,2012,2017,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Private,6,9337,370490,Independent Director,Brd,SD,2012,2017,2007-06-27,,2012-01-01,2017-01-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,DOVRE GROUP OYJ,Jim Cannavino,2010,2011,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Quoted,6,661405,370490,Independent Director,Brd,SD,2010,2011,2007-06-27,,2010-01-01,2011-01-01,Quoted
NFP,1-800-FLOWERS.COM INC,National Center for Missing & Exploited Children (NCMEC),Jim Cannavino,2015,Curr,Independent Director (Brd) (SD),Director Emeritus,Charities,6,566060,370490,Independent Director,Brd,SD,2015,,2007-06-27,,,,Quoted
NFP,1-800-FLOWERS.COM INC,National Center for Missing & Exploited Children (NCMEC),Jim Cannavino,2011,2015,Independent Director (Brd) (SD),Director - SD,Charities,6,566060,370490,Independent Director,Brd,SD,2011,2015,2007-06-27,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Paybox Corp (Direct Insite Corp prior to 11/2016),Jim Cannavino,2007,2011,Independent Director (Brd) (SD),Chairman/CEO (Brd) (ED),Private,6,9337,370490,Independent Director,Brd,SD,2007,2011,2007-06-27,,2002-12-01,2011-05-25,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,FM Facility Maintenance LLC,Jim Cannavino,2010,2016,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,6,1637515,370490,Independent Director,Brd,SD,2010,2016,2007-06-27,,2010-04-08,2016-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Paybox Corp (Direct Insite Corp prior to 11/2016),Jim Cannavino,2011,2012,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,6,9337,370490,Independent Director,Brd,SD,2011,2012,2007-06-27,,2011-05-25,2012-01-01,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Jim Cannavino,2010,2023,Independent Director (Brd) (SD),Trustee,Universities,6,79619,370490,Independent Director,Brd,SD,2010,2023,2007-06-27,,,,Quoted
Other,1-800-FLOWERS.COM INC,Marist College,Jim Cannavino,2009,2010,Independent Director (Brd) (SD),Chairman,Universities,6,79619,370490,Independent Director,Brd,SD,2009,2010,2007-06-27,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Mid-South Drilling Co,The Hon. John Davis III,1982,1983,Co-Founder (Non-Brd),President (Brd) (ED),Private,6,641958,346393,Co-Founder,Non-Brd,,1982,1983,1982-10-01,1985-05-01,1979-01-01,1983-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,ATC Communications Inc,The Hon. John Davis III,1984,1985,Co-Founder (Non-Brd),President (Brd) (ED),Private,6,641969,346393,Co-Founder,Non-Brd,,1984,1985,1982-10-01,1985-05-01,1984-01-01,1989-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Boston Apparel Group Inc,Steve Lightman,2015,2015,Division Group President (Non-Brd),President/CEO (Non-Brd),Private,6,1702902,533253,Division Group President,Non-Brd,,2015,2015,2015-03-23,2022-07-01,2011-01-01,2015-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Harry & David Holdings Inc,Steve Lightman,2015,2020,Division Group President (Non-Brd),President (Non-Brd),Private,6,790444,533253,Division Group President,Non-Brd,,2015,2020,2015-03-23,2022-07-01,2015-03-23,2020-06-10,Quoted
Listed Org,1-800-FLOWERS.COM INC,GROWN ROGUE INTERNATIONAL INC (Novicius Corp prior to 11/2018),Steve Lightman,2021,2021,Division Group President (Non-Brd),Independent Director (Brd) (SD),Quoted,6,924668,533253,Division Group President,Non-Brd,,2021,2021,2015-03-23,2022-07-01,2021-01-27,2021-06-18,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Distinctive Apparel Inc,Steve Lightman,2015,2022,Division Group President (Non-Brd),Director - SD (Brd) (SD),Private,6,2313377,533253,Division Group President,Non-Brd,,2015,2022,2015-03-23,2022-07-01,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Keh.com,Steve Lightman,2015,2022,Division Group President (Non-Brd),Director - SD (Brd) (SD),Private,6,801693,533253,Division Group President,Non-Brd,,2015,2022,2015-03-23,2022-07-01,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,VOLT INFORMATION SCIENCES INC (De-listed 04/2022),Celia Brown,2019,2022,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,2139195,533773,Independent Director,Brd,SD,2019,2022,2016-06-30,,2019-05-01,2022-04-25,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Gruppo Levey & Co,Steve Lightman,2015,2022,Division Group President (Non-Brd),Director - SD (Brd) (SD),Private,6,780599,533253,Division Group President,Non-Brd,,2015,2022,2015-03-23,2022-07-01,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,D Cubed Group LLC,Steve Lightman,2015,2022,Division Group President (Non-Brd),Council Member (Non-Brd),Private,6,2131812,533253,Division Group President,Non-Brd,,2015,2022,2015-03-23,2022-07-01,,,Quoted
Other,1-800-FLOWERS.COM INC,Data & Marketing Association (The) (DMA) (Formerly known as Direct Marketing Association (DMA)),Steve Lightman,2015,2022,Division Group President (Non-Brd),Active Member,Clubs,6,114852,533253,Division Group President,Non-Brd,,2015,2022,2015-03-23,2022-07-01,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,GROWN ROGUE INTERNATIONAL INC (Novicius Corp prior to 11/2018),Steve Lightman,2021,2022,Division Group President (Non-Brd),Special Advisor (Non-Brd),Quoted,6,924668,533253,Division Group President,Non-Brd,,2021,2022,2015-03-23,2022-07-01,2021-06-18,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Sal's LLC,Steve Lightman,2015,2022,Division Group President (Non-Brd),Managing Member (Non-Brd),Private,6,2313379,533253,Division Group President,Non-Brd,,2015,2022,2015-03-23,2022-07-01,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Data Axle Inc (infoUSA) (Infogroup Inc prior to 9/2020),Steve Lightman,2020,2022,Division Group President (Non-Brd),Director - SD (Brd) (SD),Private,6,1650932,533253,Division Group President,Non-Brd,,2020,2022,2015-03-23,2022-07-01,2020-01-01,,Quoted
Other,1-800-FLOWERS.COM INC,St Mary's College Notre Dame,David Taiclet,2011,2017,Division President (Non-Brd),Trustee,Universities,6,793087,508723,Division President,Non-Brd,,2011,2017,2009-06-01,2017-05-31,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Allele Advisors,Charlie Fraas,2010,2011,Senior VP/COO (Non-Brd),Principal (Non-Brd),Private,6,2392697,508743,Senior VP/COO,Non-Brd,,2010,2011,2010-04-01,2011-04-01,2010-01-01,2015-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Fannie May Confections Brands Inc,David Taiclet,2006,2009,Executive Officer (Non-Brd),CEO (Brd) (ED),Private,6,891490,508723,Executive Officer,Non-Brd,,2006,2009,2006-04-01,2009-06-01,2006-04-01,2009-06-01,Quoted
Other,1-800-FLOWERS.COM INC,YPO Inc (Young Presidents' Organization),David Taiclet,2016,2017,Division President (Non-Brd),Member,Clubs,6,39646,508723,Division President,Non-Brd,,2016,2017,2009-06-01,2017-05-31,,,Quoted
Other,1-800-FLOWERS.COM INC,World Presidents Organization (WPO),David Taiclet,2016,2017,Division President (Non-Brd),Member,Private,6,69127,508723,Division President,Non-Brd,,2016,2017,2009-06-01,2017-05-31,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Alpine Confections Inc,David Taiclet,2006,2006,Executive Officer (Non-Brd),Co-Owner (Non-Brd),Private,6,1874223,508723,Executive Officer,Non-Brd,,2006,2006,2006-04-01,2009-06-01,1995-01-01,2006-05-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,BloomNet Inc,Mark Nance,2006,2019,Division President (Non-Brd),President (Non-Brd),Private,6,947020,508736,Division President,Non-Brd,,2006,2019,2006-08-01,2019-03-18,2006-08-01,2019-03-18,Quoted
Education,1-800-FLOWERS.COM INC,Hofstra University,Donna Iucolano,1994,1994,,,Universities,6,60871,624136,,,,1994,1994,,,,,Quoted
NFP,1-800-FLOWERS.COM INC,Forgotten Voices Inc,Stephen Bozzo,2012,2013,Senior VP/Chief Information Officer (Non-Brd),Director - SD,Charities,6,2659080,556521,Senior VP/Chief Information Officer,Non-Brd,,2012,2013,2007-05-01,2013-12-13,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),GEOVIC MINING CORP (De-listed 07/2016),Wade Nesmith,2008,2008,Independent Director (Brd) (SD),Independent Chairman (Brd) (SD),Quoted,12,1018724,593295,Independent Director,Brd,SD,2008,2008,2007-12-04,2008-10-14,2008-06-26,2012-02-14,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),WHEATON PRECIOUS METALS CORP (Silver Wheaton Corp prior to 05/2017),Wade Nesmith,2007,2008,Independent Director (Brd) (SD),Lead Independent Director (Brd) (SD),Quoted,12,745452,593295,Independent Director,Brd,SD,2007,2008,2007-12-04,2008-10-14,2004-12-21,2009-01-01,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Parran Capital Inc,Wade Nesmith,2007,2008,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,12,1018728,593295,Independent Director,Brd,SD,2007,2008,2007-12-04,2008-10-14,2006-05-01,2008-06-19,Quoted
